tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2017,330,03,5,4,3393,10.9569109484376,13.1451593609374,12.0247568523431
2014,330,03,5,4,3394,10.6441439819366,12.809008640338,11.7265763111373
2015,330,19,4,4,3400,8.12203661809973,10.0544339701356,9.08823529411765
2014,330,08,4,4,3404,6.07968345694266,7.78635649605382,6.93301997649824
2014,330,19,4,4,3406,7.93997019181694,9.85216134077261,8.89606576629477
2012,330,08,4,4,3408,5.40973728391412,7.03157727007649,6.22065727699531
2013,330,19,4,4,3408,8.13079755722478,10.061690705686,9.0962441314554
2013,330,08,5,4,3413,6.58931250687805,8.35355300733232,7.47143275710519
2015,330,08,5,4,3418,6.77339936856933,8.5572033230632,7.66530134581627
2017,330,19,4,4,3430,7.85880772079894,9.75235867527602,8.77551020408163
2012,330,18,4,4,3434,6.38363797527723,8.1184004638608,7.25101921956902
2016,330,03,5,4,3443,10.7705379321764,12.9297234677655,11.850130699971
2013,330,03,5,4,3447,10.8136926690619,12.9751091876251,11.8944009283435
2012,330,21,5,4,3454,11.2369085070742,13.4301441854562,12.3335263462652
2016,330,24,4,4,3455,9.26250115589663,11.2874264852032,10.2749638205499
2017,330,13,5,4,3462,8.55531386073966,10.5087610130421,9.50317735413056
2015,330,18,4,4,3469,6.10114078979097,7.79335330072503,6.947247045258
2017,330,18,4,4,3474,5.42066424131582,7.02340967594692,6.188831318365
2013,330,25,5,4,3477,7.80426610389649,9.68207269391772,8.7431693989071
2014,330,13,5,4,3477,9.86432156409542,11.9360810818637,10.9002013229796
2017,330,25,5,4,3486,8.68752029846441,10.6465699212012,9.63855421686747
2017,330,24,4,4,3496,10.1113986967778,12.1957624289674,11.1270022883295
2016,330,08,4,4,3498,6.07727724024986,7.75920074717152,6.91823899371069
2012,330,25,5,4,3499,9.22730529796117,11.235684127589,10.2314947127751
2017,330,25,4,4,3516,9.5908015079721,11.6237844229492,10.580204778157
